"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"08/28/2023","48","PM2.5","Apple Valley","27-037-0470","AQS","7","45","45","48","21"
"08/29/2023","91","PM2.5","B.F. Pearson School","27-139-0505","AQS","8","47","43","91","21"
"08/30/2023","52","PM2.5","B.F. Pearson School","27-139-0505","AQS","7","44","19","52","19"
"08/31/2023","60","PM2.5","Anoka County Airport","27-003-1002","AQS","8","45","37","60","18"
"09/01/2023","63","PM10","Pacific Street","27-053-0910","AQS","10","48","63","45","11"
"09/02/2023","54","PM2.5","Apple Valley","27-037-0470","AQS","6","50","43","54","8"
"09/03/2023","90","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","6","90","40","58","15"
"09/04/2023","77","Ozone","Anoka County Airport","27-003-1002","AQS","15","77","48","60","10"
"09/05/2023","60","PM2.5","B.F. Pearson School","27-139-0505","AQS","6","50","49","60","14"
"09/06/2023","61","PM2.5","St. Michael Elementary School","27-171-3201","AQS","8","21","26","61","10"
"09/07/2023","23","PM2.5","B.F. Pearson School","27-139-0505","AQS","11","23","16","23","17"
"09/08/2023","46","Ozone","Anoka County Airport","27-003-1002","AQS","13","46","28","38","19"
"09/09/2023","58","PM2.5","Apple Valley","27-037-0470","AQS","25","35","30","58","14"
"09/10/2023","57","PM2.5","B.F. Pearson School","27-139-0505","AQS","9","31","19","57","18"
"09/11/2023","61","PM2.5","B.F. Pearson School","27-139-0505","AQS","8","34","31","61","27"
"09/12/2023","31","PM2.5","B.F. Pearson School","27-139-0505","AQS","6","24","9","31","17"
"09/13/2023","36","Ozone","St. Michael Elementary School","27-171-3201","AQS","6","36","10","25","20"
"09/14/2023","58","Ozone","B.F. Pearson School","27-139-0505","AQS","6","58","44","37","14"
"09/15/2023","53","PM2.5","St. Michael Elementary School","27-171-3201","AQS","6","36","27","53","13"
"09/16/2023","67","PM2.5","Apple Valley","27-037-0470","AQS","19","28","23","67","23"
"09/17/2023","52","PM2.5","Andersen School","27-053-0963","AQS","15","31","14","52","25"
