"tract_fips","time_frame","PPOPWOINS","PPOPWINSPRIV","PPOPWINSPUB","PPOPWEMPINS","PPOPWMEDICARE","PPOPWMEDICAID"
"32003003639","2017-2021","15.95","59.75","32.07","53.24","11.22","21.89"
"32003003640","2017-2021","10.83","60.16","34.44","51.50","9.66","23.52"
"32003003641","2017-2021","13.99","63.93","31.89","57.46","9.13","19.94"
"32003003642","2017-2021","7.94","69.35","27.30","63.80","7.35","20.01"
"32003003643","2017-2021","10.99","64.76","31.12","58.36","9.39","20.44"
"32003003644","2017-2021","8.34","60.74","41.06","52.75","10.11","30.60"
"32003003645","2017-2021","12.22","61.80","39.21","49.02","17.34","26.31"
"32003003646","2017-2021","13.56","62.87","32.61","58.31","19.21","16.54"
"32003003647","2017-2021","3.62","79.64","37.01","65.48","21.69","13.42"
"32003003648","2017-2021","7.89","52.71","46.05","49.97","5.59","41.63"
"32003003649","2017-2021","5.97","84.76","29.29","76.92","11.62","11.42"
"32003003650","2017-2021","11.42","74.99","24.90","53.46","8.48","15.51"
"32003003651","2017-2021","6.79","65.60","33.94","60.95","6.67","25.46"
"32003003652","2017-2021","5.76","70.26","33.73","60.92","7.16","24.54"
"32003003653","2017-2021","4.77","76.37","23.35","58.82","5.30","16.52"
"32003003654","2017-2021","27.67","54.18","29.55","51.07","16.01","15.52"
"32003003655","2017-2021","13.84","63.46","32.25","54.18","17.78","17.03"
"32003003656","2017-2021","12.86","59.61","35.60","49.10","9.14","25.92"
"32003003657","2017-2021","6.95","42.83","61.54","35.14","4.28","53.94"
"32003003658","2017-2021","1.91","96.27","16.92","91.46","9.60","4.27"
"32003003659","2017-2021","13.30","56.11","35.03","54.02","4.65","27.12"
"32003003660","2017-2021",".85","91.59","22.28","73.65","7.59","13.22"
"32003003661","2017-2021","13.87","57.29","34.71","44.04","6.08","24.57"
"32003003662","2017-2021","3.14","83.95","26.58","63.75","14.28","6.29"
"32003003663","2017-2021","4.62","73.80","28.03","48.92","7.42","21.58"
"32003003664","2017-2021","4.08","85.70","18.83","72.60","8.91","7.66"
"32003003665","2017-2021","19.85","56.80","34.41","51.08","12.73","19.77"
"32003003666","2017-2021","13.68","73.89","17.33","56.09","8.75","9.65"
"32003003700","2017-2021","19.78","46.12","48.82","40.22","18.79","31.68"
"32003003800","2017-2021","14.84","32.11","60.92","30.09","12.63","53.88"
"32003004000","2017-2021","43.40","18.21","42.75","14.47","12.21","33.91"
"32003004100","2017-2021","28.84","43.74","32.70","37.34","7.75","27.27"
"32003004200","2017-2021","27.61","39.68","38.18","34.26","11.43","30.54"
"32003004301","2017-2021","47.50","17.85","38.83","15.73","8.93","33.40"
"32003004302","2017-2021","38.37","20.76","43.10","19.64","6.71","38.35"
"32003004401","2017-2021","27.10","37.22","37.42","35.32","6.48","31.94"
"32003004402","2017-2021","29.49","22.43","50.82","20.48","6.49","45.74"
"32003004500","2017-2021","29.78","33.33","41.94","32.78","6.70","38.21"
"32003004601","2017-2021","17.84","30.64","60.01","27.92","8.86","52.14"
"32003004602","2017-2021","24.06","25.16","53.88","22.51","10.23","49.29"
"32003004703","2017-2021","27.96","31.20","45.33","27.40","4.34","42.15"
"32003004707","2017-2021","27.28","44.50","36.46","35.67","6.80","31.52"
"32003004709","2017-2021","15.80","45.16","43.40","41.81","5.18","38.22"
"32003004710","2017-2021","28.22","29.32","45.61","26.12","9.20","39.42"
"32003004712","2017-2021","11.21","31.97","69.12","28.07","8.35","62.48"
"32003004713","2017-2021","20.08","33.16","51.72","26.91","9.85","43.78"
"32003004714","2017-2021","19.71","42.52","47.26","35.07","11.34","37.48"
"32003004715","2017-2021","16.43","54.75","36.81","48.25","7.85","29.29"
"32003004716","2017-2021","18.68","54.60","36.57","47.35","7.05","29.72"
"32003004717","2017-2021","17.23","55.99","31.39","51.83","8.93","24.17"
"32003004907","2017-2021","5.96","67.67","32.96","59.84","16.00","17.80"
"32003004910","2017-2021","15.84","46.20","44.10","42.46","14.79","36.26"
"32003004911","2017-2021","14.27","61.35","29.84","56.33","10.47","23.63"
"32003004912","2017-2021","21.22","51.71","32.43","43.50","8.93","24.64"
"32003004914","2017-2021","11.97","73.88","29.75","64.18","17.82","13.54"
